# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957eefdb540
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0dd72849da20,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.04,10086.2,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3467,491520,1920,4,0,7680,7680,3180,25056,0,0,3407,72,7680,0,0,293,3352,120,7680,8964936,7631,8964776,0,256,32,1024,0,118591792,5133955,0,0
11cb0dd7298e35a0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.84,9906.96,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3487,491520,1920,4,0,7680,7680,3388,25056,0,0,3395,84,7680,0,0,300,3364,60,7680,8964946,7634,8964776,0,256,32,1024,0,118681815,5133502,0,0
11cb0dd72aeae300,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,154.976,10009.2,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3411,491520,1920,4,0,7680,7680,3304,25056,0,0,3443,264,7680,0,0,288,3364,180,7680,8964956,7606,8964776,0,256,32,1024,0,118658547,5134115,0,0
11cb0dd72c1a9720,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.168,9921.36,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3399,491520,1920,4,0,7680,7680,3352,25056,0,0,3355,84,7680,0,0,289,3372,492,7680,8964948,7647,8964776,0,256,32,1024,0,118700350,5134129,0,0
11cb0dd72d3b1a40,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.168,9894.48,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3507,491520,1920,4,0,7680,7680,3380,25056,0,0,3275,168,7680,0,0,320,3292,108,7680,8964937,7630,8964776,0,256,32,1024,0,118646941,5132218,0,0
11cb0dd72e5d90c0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.072,9953.96,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3387,491520,1920,4,0,7680,7680,3396,25056,0,0,3455,96,7680,0,0,320,3296,96,7680,8964954,7632,8964776,0,256,32,1024,0,118626647,5133648,0,0
11cb0dd72ffbb120,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.104,9924.8,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3331,491520,1920,4,0,7680,7680,3332,25056,0,0,3543,60,7680,0,0,289,3284,216,7680,8964938,7616,8964776,0,256,32,1024,0,118711404,5133784,0,0
11cb0dd73165f660,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.168,9905.92,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3399,491520,1920,4,0,7680,7680,3356,25056,0,0,3375,120,7680,0,0,289,3412,300,7680,8964937,7618,8964776,0,256,32,1024,0,118638897,5133991,0,0
11cb0dd732ecd3c0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.04,9961.68,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3423,491520,1920,4,0,7680,7680,3316,25056,0,0,3451,216,7680,0,0,312,3332,264,7680,8964933,7616,8964776,0,256,32,1024,0,118658789,5133287,0,0
11cb0dd7340eda40,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.04,9894.56,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3463,491520,1920,4,0,7680,7680,3392,25056,0,0,3431,168,7680,0,0,318,3268,204,7680,8964958,7616,8964776,0,256,32,1024,0,118662522,5131591,0,0
11cb0dd73529e3e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,9894.68,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3547,491520,1920,4,0,7680,7680,3292,25056,0,0,3407,192,7680,0,0,289,3428,72,7680,8964939,7644,8964776,0,256,32,1024,0,118635709,5130475,0,0
11cb0dd7368f4980,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.104,9954.68,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3463,491520,1920,4,0,7680,7680,3328,25056,0,0,3423,240,7680,0,0,320,3392,144,7680,8964945,7652,8964776,0,256,32,1024,0,118583608,5132288,0,0
11cb0dd7382db0a0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,156.288,9890.32,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3283,491520,1920,4,0,7680,7680,3364,25056,0,0,3375,60,7680,0,0,288,3300,84,7680,8964956,7584,8964776,0,256,32,1024,0,118631178,5133470,0,0
11cb0dd7396f0620,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.2,9986.08,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3443,491520,1920,4,0,7680,7680,3392,25056,0,0,3367,84,7680,0,0,288,3316,204,7680,8964976,7615,8964776,0,256,32,1024,0,118683552,5132591,0,0
11cb0dd73ab67140,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.072,9985,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3455,491520,1920,4,0,7680,7680,3224,25056,0,0,3439,156,7680,0,0,318,3368,12,7680,8964958,7636,8964776,0,256,32,1024,0,118673299,5130512,0,0
11cb0dd73bd00980,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.104,9897.04,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3347,491520,1920,4,0,7680,7680,3440,25056,0,0,3371,288,7680,0,0,334,3348,156,7680,8964952,7646,8964776,0,256,32,1024,0,118713099,5132298,0,0
11cb0dd73d2c9420,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.2,9957.24,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3435,491520,1920,4,0,7680,7680,3276,25056,0,0,3323,108,7680,0,0,310,3404,96,7680,8964958,7646,8964776,0,256,32,1024,0,118620214,5133239,0,0
11cb0dd73e803840,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.168,9912.88,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3471,491520,1920,4,0,7680,7680,3304,25056,0,0,3475,228,7680,0,0,330,3316,96,7680,8964937,7638,8964776,0,256,32,1024,0,118703690,5130906,0,0
11cb0dd73fa15920,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.264,10031.7,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3451,491520,1920,4,0,7680,7680,3380,25056,0,0,3547,108,7680,0,0,320,3488,216,7680,8964938,7602,8964776,0,256,32,1024,0,118640886,5133237,0,0
11cb0dd740e65ba0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.168,9975.72,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3419,491520,1920,4,0,7680,7680,3232,25056,0,0,3459,120,7680,0,0,288,3352,96,7680,8964952,7648,8964776,0,256,32,1024,0,118651740,5134104,0,0
11cb0dd7420ce3e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.232,9965.08,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3303,491520,1920,4,0,7680,7680,3276,25056,0,0,3551,108,7680,0,0,308,3260,84,7680,8964942,7648,8964776,0,256,32,1024,0,118684337,5132538,0,0
11cb0dd743bafcc0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.328,10005.1,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3399,491520,1920,4,0,7680,7680,3372,25056,0,0,3475,168,7680,0,0,290,3484,216,7680,8964944,7647,8964776,0,256,32,1024,0,118656182,5131350,0,0
11cb0dd744da3580,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,9906.92,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3455,491520,1920,4,0,7680,7680,3280,25056,0,0,3427,180,7680,0,0,312,3392,336,7680,8964947,7612,8964776,0,256,32,1024,0,118636701,5134069,0,0
11cb0dd74608b060,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.232,9900.8,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3495,491520,1920,4,0,7680,7680,3404,25056,0,0,3387,108,7680,0,0,373,3384,132,7680,8964945,7616,8964776,0,256,32,1024,0,118694162,5133318,0,0
11cb0dd7472d92e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.04,9901.44,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3471,491520,1920,4,0,7680,7680,3380,25056,0,0,3503,72,7680,0,0,288,3300,252,7680,8964953,7618,8964776,0,256,32,1024,0,118688495,5133514,0,0
11cb0dd748618ea0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,9891.16,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3315,491520,1920,4,0,7680,7680,3316,25056,0,0,3487,132,7680,0,0,288,3364,192,7680,8964959,7644,8964776,0,256,32,1024,0,118663111,5135269,0,0
11cb0dd749a158c0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.008,9892.08,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3479,491520,1920,4,0,7680,7680,3324,25056,0,0,3491,120,7680,0,0,291,3232,36,7680,8964948,7622,8964776,0,256,32,1024,0,118629089,5133400,0,0
11cb0dd74ac11d40,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.072,9896.24,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3463,491520,1920,4,0,7680,7680,3316,25056,0,0,3499,180,7680,0,0,302,3364,240,7680,8964952,7612,8964776,0,256,32,1024,0,118594750,5134155,0,0
